No,Year,Country_ID,Bank_ID,IB,DTD_PB,DTC_PB,ESGS,ESGcom,ESGC,E,S,G,ETA,NPL,CTI,TDTA,REVDIV,LOANGR,TA,IB,EG,INF,HHII,COVID,GOV,MIP,REG,LNTA
281,2016,5,41,0,"11,372049","15,461189","52,63","52,63",100,"30,45","43,4","82,69","10,95693","0,76","56,54","74,056255","9,137894","20,27","3766000000000,00%",0,"7,1494568","1,2536988","10,55294",0,"-0,43933415","9,856393","0,11292445","24,35189"
288,2016,6,42,0,"3,4597162","4,6938367",,,,,,,"7,828266","9,12","49,31","75,222256","8,937485","15,67","2392000000000,00%",0,"6,5738383","3,7651192","11,63354",0,"-1,0147359","13,88263","-0,6624164","23,898"
295,2016,6,43,0,"23,790535","28,225259",,,,,,,"13,556369","5,64","40,05","73,901434","12,25172","14,54","1027000000000,00%",0,"6,5738383","3,7651192","11,63354",0,"-1,0147359","13,88263","-0,6624164","23,05273"
302,2016,6,44,0,"3,0594754","4,1297841",,,,,,,"9,8528635","7,93","42,68","74,969001","10,41357","9,12","1585000000000,00%",0,"6,5738383","3,7651192","11,63354",0,"-1,0147359","13,88263","-0,6624164","23,48671"
309,2016,6,45,1,"9,7118654","11,355214",,,,,,,"5,2426192","2,14","61,34","89,355478","7,822495","48,12","632800000000,00%",1,"6,5738383","3,7651192","11,63354",0,"-1,0147359","13,88263","-0,6624164","22,56827"
316,2016,7,46,0,"48,08973","54,318603","25,57","25,57",100,"21,15","16,71",48,"10,589575","2,68","44,23","81,875","7,28405","9,89","1028000000000,00%",0,"5,0464239","1,1092081","17,19463",0,"0,43490659","3,333408","0,59764135","23,0533"
323,2016,7,47,0,"6,2257691","8,6468859","12,88","12,88",100,"21,15","22,09","7,31","10,868616","1,69","46,69","60,878537","6,24707","16,13","655400000000,00%",0,"5,0464239","1,1092081","17,19463",0,"0,43490659","3,333408","0,59764135","22,60338"
330,2016,7,48,0,"31,788428","37,113463","19,13","19,13",100,"21,15","14,62",33,"12,786229","1,11","35,82","75,080276","6,493568","0,29","494100000000,00%",0,"5,0464239","1,1092081","17,19463",0,"0,43490659","3,333408","0,59764135","22,32077"
337,2016,7,49,0,"43,836352","50,50015","61,95","61,95",100,"59,91","56,62","83,56","14,294692","2,91","41,66","76,612046","9,104439","8,43","2814000000000,00%",0,"5,0464239","1,1092081","17,19463",0,"0,43490659","3,333408","0,59764135","24,06048"
351,2016,7,51,0,"60,548112","66,70846","16,44","16,44",100,"21,15","17,66","21,33","11,971014","2,68","46,07","74,294449","9,373741","5,55","918800000000,00%",0,"5,0464239","1,1092081","17,19463",0,"0,43490659","3,333408","0,59764135","22,94114"
358,2016,8,52,0,"37,298694","46,741159","61,68","57,17","53,38","77,27","74,51","45,39","8,7635959","2,14","49,05","77,044293","6,141357","8,93","8817000000000,00%",0,"4,4497814","2,0905666","6,156003",0,"0,40530534","5,159707","0,66399539","25,20254"
365,2016,8,53,0,"40,663948","61,1","40,62","40,62",100,"25,93","48,84","43,64","8,5194142","1,26","48,42","84,576879","5,690117","4,95","1418000000000,00%",0,"4,4497814","2,0905666","6,156003",0,"0,40530534","5,159707","0,66399539","23,37514"
372,2016,8,54,0,"5,5044911","12,743215","45,05","45,05",100,"59,59","59,89","32,25","9,3049703","0,51","32,26","84,668341","5,753662","7,5","8472000000000,00%",0,"4,4497814","2,0905666","6,156003",0,"0,40530534","5,159707","0,66399539","25,16261"
379,2016,8,55,0,"11,596903","18,275314","71,3","71,3",100,"74,53","72,58","75,89","9,575949","2,28","47,34","75,036059","7,198814","5,67","16410000000000,00%",0,"4,4497814","2,0905666","6,156003",0,"0,40530534","5,159707","0,66399539","25,82347"
386,2016,8,56,0,"45,139095","56,776946","38,49","38,49",100,"21,15","33,13","61,27","9,5180609","1,83","57,99","72,68551","6,221527","0,56","2213000000000,00%",0,"4,4497814","2,0905666","6,156003",0,"0,40530534","5,159707","0,66399539","23,82041"
393,2016,8,57,0,"2,8311736","5,6143132","28,47","28,47",100,"24,18","8,74","65,82","11,124322","0,79","46,43","81,508016","4,958084","6,34","4719000000000,00%",0,"4,4497814","2,0905666","6,156003",0,"0,40530534","5,159707","0,66399539","24,57748"
400,2016,8,58,0,"27,934785","31,291761","52,88","52,88",100,"58,28","55,33","60,79","9,1997678","2,43","49,91","79,648029","5,977852","2,05","5276000000000,00%",0,"4,4497814","2,0905666","6,156003",0,"0,40530534","5,159707","0,66399539","24,68901"
407,2016,9,59,0,"62,131222","68,065264",,,,,,,"10,490022","2,49","44,28","85,974283","6,689461","-4,33","1786000000000,00%",0,"2,9258682","3,1983978","14,19181",0,"-0,12775506","5,211934","-0,08821052","23,60586"
414,2016,9,60,1,"38,074557","43,309113",,,,,,,"9,9890861","0,82","42,3","86,776954","6,491402","15,82","1137000000000,00%",1,"2,9258682","3,1983978","14,19181",0,"-0,12775506","5,211934","-0,08821052","23,15466"
421,2016,9,61,1,"55,509122","61,710651","42,56","42,56",100,"55,02","31,74","63,61","12,356813","2,9","53,84","79,489557","8,927826","1,56","5390000000000,00%",1,"2,9258682","3,1983978","14,19181",0,"-0,12775506","5,211934","-0,08821052","24,71043"
428,2016,9,62,0,"47,897442","54,580785","49,91","49,91",100,"61,47","41,59","70,2","13,17722","1,28","33,8","82,330396","6,819763","0,82","7919000000000,00%",0,"2,9258682","3,1983978","14,19181",0,"-0,12775506","5,211934","-0,08821052","25,09506"
435,2016,9,63,1,"54,979394","60,942514","29,64","29,64",100,"21,15","26,09","46,39","13,813651","1,4","48,42","83,580715","7,56031","8,45","603100000000,00%",1,"2,9258682","3,1983978","14,19181",0,"-0,12775506","5,211934","-0,08821052","22,52013"
442,2016,9,64,0,"88,156544","89,573949","34,44","34,44",100,"21,15","21,66","65,83","14,636511","0,5","18,93","82,187962","7,558594","-1,27","1348000000000,00%",0,"2,9258682","3,1983978","14,19181",0,"-0,12775506","5,211934","-0,08821052","23,32425"
449,2016,11,65,0,,,,,,,,,"15,228124","9,73","48,71","70,52872","7,489777","41,46","222100000000,00%",0,"3,5581281","2,7867935","13,83363",0,"0,09183583","3,008776","0,59587556","21,52135"
456,2016,11,66,0,,,"38,57","38,57",100,"21,15","21,81","77,08","13,929663","8,82","35,19","82,701286","6,910278","2,98","791800000000,00%",0,"3,5581281","2,7867935","13,83363",0,"0,09183583","3,008776","0,59587556","22,79238"
463,2016,12,67,0,,,,,,,,,"13,53966","4,22","58,55","76,525369","11,37476","17,93","350900000000,00%",0,"1,9941808","-0,77843046","17,34627",0,"0,03705724","4,641056","0,06804299","21,97852"
470,2016,12,68,0,,,,,,,,,"10,751199","11,56","72,48","75,464394","9,437134","18,63","396500000000,00%",0,"1,9941808","-0,77843046","17,34627",0,"0,03705724","4,641056","0,06804299","22,1009"
477,2016,12,69,0,,,"57,64","57,64",100,"70,66","64,96",50,"14,433789","7,82","53,73","74,439891","8,655472",0,"3416000000000,00%",0,"1,9941808","-0,77843046","17,34627",0,"0,03705724","4,641056","0,06804299","24,25435"
484,2016,12,70,0,,,,,,,,,"13,555919","5,64","46,07","78,523567","9,675873","14,56","1101000000000,00%",0,"1,9941808","-0,77843046","17,34627",0,"0,03705724","4,641056","0,06804299","23,12247"
491,2016,13,71,0,"14,843044","17,301583","65,67","65,67","83,78","64,21","72,07","70,9","14,682907","2,13","42,16","75,313955","17,27534","14,17","7478000000000,00%",0,"5,0330692","3,5258052","22,72629",0,"-0,25258756","12,806","-0,0313758","25,03787"
498,2016,13,72,0,"29,265131","33,572753","57,97","57,97",100,"32,01","61,15","72,44","14,765458",4,"41,94","74,340169","14,70104","11,18","7731000000000,00%",0,"5,0330692","3,5258052","22,72629",0,"-0,25258756","12,806","-0,0313758","25,07106"
505,2016,13,73,0,"14,843044","17,301583","65,61","65,61",100,"68,5","75,89","57,91","14,800875","2,96","48,14","74,016963","13,95049","20,6","4488000000000,00%",0,"5,0330692","3,5258052","22,72629",0,"-0,25258756","12,806","-0,0313758","24,5273"
512,2016,13,74,0,"15,211251","18,701924","63,04","63,04",100,"67,15","75,77","57,31","16,655628","1,27","43,47","79,114616","16,48094","7,41","5037000000000,00%",0,"5,0330692","3,5258052","22,72629",0,"-0,25258756","12,806","-0,0313758","24,64261"
519,2016,13,75,0,"19,387333","23,094554",,,,,,,"8,9324527","2,84","57,8","76,407315","9,635277","18,34","1594000000000,00%",0,"5,0330692","3,5258052","22,72629",0,"-0,25258756","12,806","-0,0313758","23,49209"
526,2016,13,76,0,"57,488624","62,068863","47,84","47,84",100,"35,57","37,31","75,72","20,85458","5,64","48,23","61,118172","23,09443","-5,4","1298000000000,00%",0,"5,0330692","3,5258052","22,72629",0,"-0,25258756","12,806","-0,0313758","23,28689"
533,2016,14,77,0,,,,,,,,,"7,6331634","0,98","58,69","62,175619","7,046272","46,76","590400000000,00%",0,"8,2563055","4,9482163","7,053859",0,"-0,32060112","11,58782","-0,31153193","22,49885"
561,2016,14,81,0,"52,990945","58,061912","39,98","32,66",25,"62,04","55,97","16,76","6,0797395","6,42","50,24","73,332355","7,676361","11,27","46330000000000,00%",0,"8,2563055","4,9482163","7,053859",0,"-0,32060112","11,58782","-0,31153193","26,86173"
568,2016,14,82,0,"39,072274","45,813498","39,86","39,86","63,51","49,01","57,49","28,51","10,608512","5,63","43,15","49,096527","12,41686","14,2","13850000000000,00%",0,"8,2563055","4,9482163","7,053859",0,"-0,32060112","11,58782","-0,31153193","25,65419"
589,2016,14,85,0,"9,0618077","11,624046","47,63","47,63","63,51","57,52","60,38","42,05","14,01958","2,06","59,89","56,456287","17,74995","63,96","3630000000000,00%",0,"8,2563055","4,9482163","7,053859",0,"-0,32060112","11,58782","-0,31153193","24,31515"
596,2016,14,86,0,"4,6343092","6,122829","58,01","58,01",100,"74,78","63,72","54,59","12,384467","0,87","47,4","65,081541","12,37422",,"2154000000000,00%",0,"8,2563055","4,9482163","7,053859",0,"-0,32060112","11,58782","-0,31153193","23,7933"
603,2016,14,87,0,,,"61,88","61,88",100,"67,97","54,32","77,51","16,382152","6,42","40,83","17,574467","9,776466",,"1255000000000,00%",0,"8,2563055","4,9482163","7,053859",0,"-0,32060112","11,58782","-0,31153193","23,2526"
610,2016,14,88,0,,,"60,18","60,18","63,51","64,52","63,96","66,7","9,7721786","0,96","44,24","71,616959","11,24234","27,06","11490000000000,00%",0,"8,2563055","4,9482163","7,053859",0,"-0,32060112","11,58782","-0,31153193","25,46739"
617,2016,14,89,0,"3,0442307","4,0717592",,,,,,,"9,5962893","2,4","40,08","85,392291","9,083855","17,62","479500000000,00%",0,"8,2563055","4,9482163","7,053859",0,"-0,32060112","11,58782","-0,31153193","22,29076"
631,2016,14,91,0,,,"36,89","27,45","23,33","61,42","50,71","15,67","6,1773933","9,9","49,4","84,882556","5,917747","-6,97","10420000000000,00%",0,"8,2563055","4,9482163","7,053859",0,"-0,32060112","11,58782","-0,31153193","25,36956"
638,2016,15,92,0,"22,935308","30,688392","56,85","56,85",100,"79,52","54,99","57,98","7,4891103","1,52","27,82","84,802734","5,821838","12,13","301600000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","28,7351"
645,2016,15,93,0,"42,079188","54,285184","66,93","55,8","44,59","75,84","67,48","70,25","7,8513949","1,62","27,47","82,212637","5,830803","9,41","347300000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","28,87606"
652,2016,15,94,0,,,,,,,,,"5,3526381","1,62","30,44","83,769951","4,12339","14,56","10370000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","25,36439"
659,2016,15,95,0,"4,5058514","6,7228275",,,,,,,"4,9373071","0,87","25,01","81,952511","5,362144","32,08","15310000000000,00%",0,"6,8487622","2,0000018","5,961594",0,"-0,21041931","9,38668","-0,31400174","25,75425"
