No,Year,Country_ID,Bank_ID,IB,DTD_PB,DTC_PB,ESGS,ESGcom,ESGC,E,S,G,ETA,NPL,CTI,TDTA,REVDIV,LOANGR,TA,IB,EG,INF,HHII,COVID,GOV,MIP,REG,LNTA
690,2019,15,99,0,,,"38,34","38,34",100,"17,52","35,71","50,29","5,5044545","1,43","25,75","87,053344","4,654831","17,44","29560000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","26,41213"
697,2019,15,100,0,"33,89614","40,020096","32,31","32,31","94,5","28,85","32,14","33,91","7,0982439","2,11","23,29","82,003146","5,985214","13,48","100400000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","27,63478"
704,2019,15,101,0,"5,9260743","8,0632415","29,29","29,29",100,"24,17","31,96","27,66","6,9314584","2,02","29,61","85,966561","7,442886",,"56380000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","27,05791"
711,2019,15,102,0,"55,710365","62,035322","57,37","57,37","94,5","56,29","56,51","58,99","7,077229","1,47","35,48","79,451341","4,939445","9,25","141800000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","27,98007"
718,2019,15,103,0,"25,132077","30,882319","47,82","47,82",100,"36,87","61,83","32,89","6,8988322","1,62","27,14","85,520308","5,755096","14,07","95630000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","27,58636"
725,2019,15,104,0,"35,474334","41,922617","41,52","41,52",100,"53,36","45,41","31,43","6,6756439","1,56","27,59","85,610797","6,066833","12,02","67750000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","27,24162"
732,2019,15,105,0,"49,177107","54,684475","61,36","61,36",100,"57,59","50,49","77,84","6,6332634","1,74","27,85","85,861855","5,97123","10,82","96610000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","27,59658"
739,2019,15,106,0,,,"36,65","36,65",100,"16,35","31,76","51,51","9,6836445","1,05","38,28","82,132607","7,305077","18,84","2645000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","23,9987"
746,2019,15,107,0,,,"37,7","37,7",100,"11,03","46,99","35,57","7,0301136","1,37","19,98","85,599334","4,784073","14,75","32020000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","26,49214"
760,2019,15,109,0,"46,156885","47,395381","25,78","25,78",100,"17,96","30,83","21,95","6,9827989","1,4","23,26","85,888661","5,035927","15,07","39170000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","26,69385"
767,2019,15,110,0,"7,7598594","7,0875012","53,91","53,91",56,"51,55","59,04","47,77","7,8150768","1,17","33,2","85,003883","7,716148","14,16","106200000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","27,69078"
774,2019,15,111,0,"30,930087","38,074078","51,28","51,28",100,"56,6","45,35","57,33","7,8033508","1,36",32,"84,400571","5,111015","10,57","325900000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","28,8124"
788,2019,15,113,0,"12,75083","18,483367","51,91","51,91",100,"52,84","33,47","76,95","7,0504497","1,4","32,24","85,567162","5,189064","11,89","356100000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","28,90093"
795,2019,15,114,0,,,,,,,,,"6,8658859","1,19","29,66","87,34023","4,547012","12,91","2317000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","23,86627"
830,2019,15,119,0,"27,548428","32,6417","32,89","32,89",100,"46,31","41,27","15,98","6,5208235","0,82","34,42","76,76618","6,124023","23,79","18860000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","25,96287"
837,2019,15,120,0,"25,022782","31,246145","36,61","36,61",100,"24,89","49,43","23,63","6,910608","1,8","26,03","84,529256","5,482033","17,58","102300000000000,00%",0,"5,9505008","2,8992342","5,661719",0,"-0,11879925","8,453533","-0,30431998","27,65348"
851,2019,16,122,0,"28,547467","33,634596","76,98","76,98",100,"83,86","72,86","79,89","13,26584","6,29","63,9","52,650856","21,78217","6,62","9421000000000,00%",0,"0,81852594","15,176822","7,652307",0,"-0,41842105","40,88822","-0,02041775","25,26882"
858,2019,16,123,0,"68,843515","72,009813","69,33","62,66",56,"52,51","85,66","53,56","6,8632775","5,25","53,86","64,160462","6,025352","19,13","7888000000000,00%",0,"0,81852594","15,176822","7,652307",0,"-0,41842105","40,88822","-0,02041775","25,09124"
865,2019,16,124,0,"57,087984","61,045095","83,55","83,55",100,"94,69","94,42","64,13","12,601756","6,78","42,29","64,646654","14,56187","7,32","7226000000000,00%",0,"0,81852594","15,176822","7,652307",0,"-0,41842105","40,88822","-0,02041775","25,00347"
872,2019,16,125,0,"32,483539","36,969589","64,81","64,81",100,"63,83","80,22","43,96","7,8271953","5,92","36,95","58,60826","11,55161","25,1","7294000000000,00%",0,"0,81852594","15,176822","7,652307",0,"-0,41842105","40,88822","-0,02041775","25,01285"
879,2019,16,126,0,"43,180801","47,279816","63,88","63,88",100,"64,17","88,72","29,53","9,6227781",,"31,49","58,041156","13,60407","4,2","6885000000000,00%",0,"0,81852594","15,176822","7,652307",0,"-0,41842105","40,88822","-0,02041775","24,95524"
886,2019,16,127,0,"37,648878","41,779529","57,61","57,61",100,"56,09","58,7","56,72","12,49247","3,47","18,93","17,574467","44,12587","12,51","711300000000,00%",0,"0,81852594","15,176822","7,652307",0,"-0,41842105","40,88822","-0,02041775","22,68522"
893,2019,16,128,0,"37,84685","43,158851","61,72","61,72",100,"58,07","78,56","39,96","14,072626","6,47","33,63","63,220593","14,03913","7,29","6520000000000,00%",0,"0,81852594","15,176822","7,652307",0,"-0,41842105","40,88822","-0,02041775","24,9008"
900,2019,17,129,0,"37,84685","43,158851","45,41","45,41",100,"53,03","60,91","20,99","9,7576066","7,54","44,68","76,772514","8,664803","-0,06","25060000000000,00%",0,"2,1980757","4,4703666","16,29848",0,"-0,51925393","12,48976","-0,47659722","26,24729"
907,2019,17,130,0,"23,289069","27,686831","57,81","57,81",69,"55,69","75,1","34,82","14,961497","7,17","37,81","73,647898","14,79877","3,15","48390000000000,00%",0,"2,1980757","4,4703666","16,29848",0,"-0,51925393","12,48976","-0,47659722","26,90524"
914,2019,17,131,0,"4,3708415","7,9696032","45,22","45,22",100,"12,94","35,81","71,09","7,1203307","4,09","42,2","55,553029","3,981827","12,03","3915000000000,00%",0,"2,1980757","4,4703666","16,29848",0,"-0,51925393","12,48976","-0,47659722","24,39062"
921,2019,18,132,0,,,"52,64","52,64",100,"58,22","58,99","41,67","10,045322","7,19","47,2","84,312321","10,85513","6,61","2153000000000,00%",0,"3,8531638","3,8278543","14,71092",0,"0,18989649","9,881387","0,44331443","23,79257"
928,2019,18,133,0,"28,306675","34,547211","54,49","54,49",100,"16,42","62,75","58,33","14,166227","4,15","52,52","80,179157","12,30054","1,64","1356000000000,00%",0,"3,8531638","3,8278543","14,71092",0,"0,18989649","9,881387","0,44331443","23,33029"
935,2019,19,134,0,"60,097607","65,241468","64,66","64,66",100,"50,22","76,53","54,09","7,338645","0,25","51,52","17,671782","11,33323","22,58","716700000000,00%",0,"4,4499879","2,2274788","9,732383",0,"0,61572236","7,110147","1,0135117","22,69273"
949,2019,19,136,0,"46,701183","51,162886","75,39","75,39",100,"87,44","71,74","75,61","9,5979023","2,92","50,6","82,835269","8,079124","14,55","4171000000000,00%",0,"4,4499879","2,2274788","9,732383",0,"0,61572236","7,110147","1,0135117","24,45401"
956,2019,19,137,0,"61,546603","65,952782","65,93","65,93",100,"73,74","62,45","67,6","10,177192",4,"59,08","72,062606","8,88279","12,27","4174000000000,00%",0,"4,4499879","2,2274788","9,732383",0,"0,61572236","7,110147","1,0135117","24,4547"
963,2019,19,138,0,"61,033729","65,074933","53,74","53,74",100,"71,45","66,72","28,77","9,1317696","4,47","57,58","84,800503","7,833313","31,4","2575000000000,00%",0,"4,4499879","2,2274788","9,732383",0,"0,61572236","7,110147","1,0135117","23,97167"
970,2019,19,139,0,"88,156544","81,438628","70,92","70,92",100,"34,64","77,07","76,95","13,61082","3,4","59,2","80,223939","9,543533",8,"1367000000000,00%",0,"4,4499879","2,2274788","9,732383",0,"0,61572236","7,110147","1,0135117","23,33838"
977,2019,19,140,0,"60,856186","65,550053","54,79","54,79",100,"42,61","55,83","58,22","8,7824794","13,99","49,14","81,092524","10,82207","4,03","2017000000000,00%",0,"4,4499879","2,2274788","9,732383",0,"0,61572236","7,110147","1,0135117","23,72764"
984,2019,19,141,0,"78,400579","82,286453","57,04","57,04",100,"26,05","69,34","52,5","11,507804","5,54","55,46","80,628154","9,02829","8,39","5347000000000,00%",0,"4,4499879","2,2274788","9,732383",0,"0,61572236","7,110147","1,0135117","24,70235"
991,2019,19,142,0,"37,221142","42,208738","87,4","83,2",79,"58,46","90,19","93,27","12,879506","5,12","53,81","77,102793","10,32613","4,8","5509000000000,00%",0,"4,4499879","2,2274788","9,732383",0,"0,61572236","7,110147","1,0135117","24,73216"
998,2019,20,143,0,"42,56407","49,954474","57,49","57,49",100,"74,56","68,86",35,"11,387111","5,71","54,71","79,437452","12,75584","43,7","6827000000000,00%",0,"4,8642257","3,3385864","15,25815",0,"0,46683382","6,719144","0,59232217","24,94673"
1012,2019,22,145,0,"42,585044","48,353089","65,71","65,71",100,"65,33","84,62","39,82","8,7227966","3,86","55,74","53,165708","14,53648","5,2","16180000000000,00%",0,"0,25993558","4,1202459","9,531476",0,"-0,07236925","11,2235","0,00850539","25,80976"
1019,2019,22,146,0,"22,202754","26,43209","47,24","47,24",100,"54,78","58,13","29,24","7,314752","3,9","53,22","60,262784","15,78187","6,15","9113000000000,00%",0,"0,25993558","4,1202459","9,531476",0,"-0,07236925","11,2235","0,00850539","25,2356"
1026,2019,22,147,0,"2,5420792","3,7125229","29,79","29,79",100,"9,13","38,98","25,38","20,874338","16,33","40,52","71,321576","33,11841",,"716900000000,00%",0,"0,25993558","4,1202459","9,531476",0,"-0,07236925","11,2235","0,00850539","22,69302"
1033,2019,22,148,0,"53,839547","59,175661","67,81","67,81",100,"96,08","73,69","54,36","8,3611752","1,23","52,16","78,164141","5,511909","7,81","3283000000000,00%",0,"0,25993558","4,1202459","9,531476",0,"-0,07236925","11,2235","0,00850539","24,21461"
1040,2019,22,149,0,"40,10934","45,903214","82,95","82,95",100,"95,14","94,72","59,45","6,814595","3,28","59,64","69,308815","9,805038","10,32","7597000000000,00%",0,"0,25993558","4,1202459","9,531476",0,"-0,07236925","11,2235","0,00850539","25,0536"
1047,2019,22,150,0,"54,09291","64,069498","72,36","72,36",100,"63,39","89,82","51,89","6,9739831","4,98","69,04","63,327657","11,03015","6,18","8248000000000,00%",0,"0,25993558","4,1202459","9,531476",0,"-0,07236925","11,2235","0,00850539","25,13579"
1054,2019,23,151,0,"26,212868","29,975682","22,73","22,73",100,0,"23,83","30,3","12,930848","2,8","23,55","81,502657","12,35324","11,92","1707000000000,00%",0,"5,5520931","9,1527996","15,74331",0,"-0,62459286","21,6461","-0,75856322","23,56063"
1061,2019,23,152,0,"12,790799","15,698177","67,11","67,11",100,"55,89","61,53","79,27","13,414717","4,04","22,69","81,77513","12,78326","9,92","2418000000000,00%",0,"5,5520931","9,1527996","15,74331",0,"-0,62459286","21,6461","-0,75856322","23,90887"
1068,2019,23,153,1,"27,891168","32,418214",,,,,,,"5,6394033","13,33","26,15","89,355478","6,43148","7,3","453400000000,00%",1,"5,5520931","9,1527996","15,74331",0,"-0,62459286","21,6461","-0,75856322","22,23496"
1075,2019,24,154,0,"41,533586","50,30736","59,41","59,41",100,"56,22","64,74","53,33","10,124827","6,66","47,79","66,978588","10,3839",6,"5552000000000,00%",0,"2,8909748","0,30338604","13,06545",0,"-0,26486686","4,549739","-0,15459512","24,73998"
1082,2019,25,155,0,"27,148625","32,179033","83,75","83,75","94,5","84,16","80,96","87,42","12,404858","1,65","39,01","44,050228","16,22704",-2,"8372000000000,00%",0,"-0,27814878","3,6359614","5,979086",0,"-0,54277113","8,367949","0,0125952","25,15074"
1089,2019,25,156,0,"56,717602","62,021297","16,99","16,99",79,0,"19,95","19,69","29,983417","2,13","33,55","33,691357","29,53431","-0,52","2576000000000,00%",0,"-0,27814878","3,6359614","5,979086",0,"-0,54277113","8,367949","0,0125952","23,97195"
1096,2019,25,157,0,"67,566303","72,170539","55,42","55,42",100,"20,23","65,92","55,02","29,983417","2,79","63,29","21,453037","44,12587","16,7","300100000000,00%",0,"-0,27814878","3,6359614","5,979086",0,"-0,54277113","8,367949","0,0125952","21,82227"
1103,2019,25,158,0,"14,424793","18,525051","60,32","60,32",100,"30,98","68,49","60,78","13,873855","1,77","52,62","70,273432","17,99039","9,43","751900000000,00%",0,"-0,27814878","3,6359614","5,979086",0,"-0,54277113","8,367949","0,0125952","22,74067"
1110,2019,26,159,0,"15,79029","20,070538","64,28","64,28",100,"30,02","79,8","56,6","12,628045","3,02","43,17","66,134519","17,7972","3,65","4549000000000,00%",0,"2,2406318","2,2521219","19,62647",0,"-0,16034298","9,007142","0,51720226","24,54074"
1117,2019,26,160,0,"22,133482","27,765762","65,62","65,62",100,"32,55","73,2","68,4","11,226001","3,02","39,62","68,545554","13,93841","8,53","2469000000000,00%",0,"2,2406318","2,2521219","19,62647",0,"-0,16034298","9,007142","0,51720226","23,92973"
1131,2019,27,162,0,"7,68426","11,598352","42,74","42,74",100,"33,47","48,73","38,19","8,5484258","2,95","45,34","54,599108","14,82058","7,54","5543000000000,00%",0,"0,74313003","2,5575448","8,555057",0,"0,78170487","10,14639","1,1584932","24,73836"
1138,2019,27,163,0,"11,507047","15,896146","57,2","57,2",100,"60,57","70,1","38,09","7,534316","4,14","50,55","55,137671","11,60974","12,56","6760000000000,00%",0,"0,74313003","2,5575448","8,555057",0,"0,78170487","10,14639","1,1584932","24,93688"
1145,2019,27,164,0,"12,159145","15,589709","54,44","54,44",100,"17,78","56,98","65,61","10,196639","6,34","58,98","49,371722","12,48174","7,68","4531000000000,00%",0,"0,74313003","2,5575448","8,555057",0,"0,78170487","10,14639","1,1584932","24,53684"
1152,2019,27,165,0,"15,124505","21,630801","85,77","85,77",100,"83,49","86,27","85,99","6,8612838","5,86","41,53","46,835347","13,58978","8,09","6792000000000,00%",0,"0,74313003","2,5575448","8,555057",0,"0,78170487","10,14639","1,1584932","24,94167"
1159,2019,28,166,0,"58,456086","62,856516","41,41","41,41",100,"60,16","61,3","7,31","12,49003","5,23","51,52","67,303891","18,16809","0,29","5313000000000,00%",0,"3,1868554","3,5230193","9,522545",0,"-0,26059636","10,50381","0,31791094","24,69605"
1166,2019,28,167,0,"16,403131","20,224386","67,68","67,68",100,"65,25","71,08","63,97","12,201208","6,86","51,13","67,165181","16,40838","4,87","7167000000000,00%",0,"3,1868554","3,5230193","9,522545",0,"-0,26059636","10,50381","0,31791094","24,99535"
1173,2019,28,168,0,"57,7422","61,277831","48,84","48,84",100,"28,3","73,78","22,7","7,9288097","5,42","45,75","72,765263","12,37911","8,64","1996000000000,00%",0,"3,1868554","3,5230193","9,522545",0,"-0,26059636","10,50381","0,31791094","23,71676"
1180,2019,28,169,0,"42,176075","48,574758","43,27","43,27",100,"14,23","47,74","48,73","11,959961","5,42","60,04","62,937916","22,80011",,"8465000000000,00%",0,"3,1868554","3,5230193","9,522545",0,"-0,26059636","10,50381","0,31791094","25,16176"
1187,2019,29,170,0,"35,720916","39,52787","75,41","75,41",87,"87,29","86,17","55,82","7,0146477","5,39","69,36","35,42471","15,46599","-2,72","36040000000000,00%",0,"1,2207778","3,7329762","15,27419",0,"-0,34032452","10,80154","-0,1214041","26,61036"
1194,2019,29,171,0,"13,016527","15,309459","88,54","87,62","94,5","87,69","91,61","93,27","12,752558","6,74","39,18","43,977959","20,89941","8,23","18910000000000,00%",0,"1,2207778","3,7329762","15,27419",0,"-0,34032452","10,80154","-0,1214041","25,96568"
1201,2019,29,172,0,"15,996629","20,070684","79,03","74,02",69,"88,44","85,82","65,91","9,8324901","7,01","72,49","30,46345","24,50489","11,15","34210000000000,00%",0,"1,2207778","3,7329762","15,27419",0,"-0,34032452","10,80154","-0,1214041","26,55825"
1208,2019,29,173,0,"30,913907","35,728301","29,75","29,75",100,"2,19","43,95","21,2","9,4578959","3,45","66,69","64,987188","17,58243","6,21","2048000000000,00%",0,"1,2207778","3,7329762","15,27419",0,"-0,34032452","10,80154","-0,1214041","23,74275"
1215,2019,29,174,0,"13,112731","17,241555","88,25","87,62",87,"87,75","92,21","82,98","9,1277395","7,17","57,96","30,965855","20,95431","9,27","40630000000000,00%",0,"1,2207778","3,7329762","15,27419",0,"-0,34032452","10,80154","-0,1214041","26,73039"
5,2020,1,1,1,"12,788923","16,488882","12,59","12,59",100,"10,32","4,08","27,42","10,772716","5,88","36,66","75,778406","7,913185","30,64","7884000000000,00%",1,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","25,09074"
12,2020,1,2,0,"24,336775","27,869381","66,98","66,98",100,"53,05","66,05","73,82","12,307096","8,03","36,24","63,143286","8,199379","-1,85","11200000000000,00%",0,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","25,44137"
19,2020,1,3,0,"22,056324","25,686265","67,53","66,23","64,94","57,13","69,26","69,29","10,693986","6,02","28,38","59,832459","4,942017","-4,37","25030000000000,00%",0,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","26,24574"
26,2020,1,4,0,"21,194072","25,921107","35,26","35,26",100,"39,18","44,95","20,34","10,634526","6,23","33,83","73,039569","8,240494","2,54","19010000000000,00%",0,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","25,97074"
33,2020,1,5,1,"24,680495","29,486347","39,28","39,28",100,"28,03","46,41","33,97","11,272054","8,8","48,11","82,187846","9,218513","3,91","3480000000000,00%",1,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","24,27299"
40,2020,1,6,0,"88,156544","89,573949","11,66","11,66",100,"7,7","6,25","20,68","11,859766","16,25","41,19","68,747993","10,87899","-10,53","466400000000,00%",0,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","22,26314"
47,2020,1,7,0,"88,156544","89,573949","39,25","39,25",100,"5,88","24,5","72,92","8,7578679","12,08","86,65","66,162657","4,787872","14,72","984200000000,00%",0,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","23,00989"
54,2020,1,8,0,"39,382306","43,426319","23,62","23,62",100,0,"26,3","29,36","11,041211","7,48","27,68","76,553282","7,272522","7,82","2651000000000,00%",0,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","24,00083"
68,2020,1,10,1,"45,919072","51,886456","10,42","10,42",100,0,"18,06","7,31","11,636157","11,72","42,95","86,319401","6,085342","-0,26","585600000000,00%",1,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","22,49078"
75,2020,1,11,1,"14,226876","17,808499","21,08","21,08",100,"6,08","23,35","23,96","10,837338","4,89","46,61","73,844793","5,619942","16,36","1460000000000,00%",1,"-4,9570524","-2,0794032","12,582",1,"0,98228536","1,568634","1,074331","23,40396"
82,2020,2,12,0,"62,835085","67,016824","65,13","65,13",100,"50,73","87,08","40,65","10,668854","4,65","43,73","82,270793","8,056938","12,22","11090000000000,00%",0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076","25,43166"
89,2020,2,13,0,"68,037226","73,055472","66,38","66,38",100,"60,14","87,96","39,14","11,777445","4,47","55,91","79,258271","7,2145","14,98","12740000000000,00%",0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076","25,57038"
96,2020,2,14,0,"72,070112","75,796152","43,58","43,58",100,"24,98","54,63","35,79",,,,,,,,0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076",
103,2020,2,15,0,"43,989494","48,992581","68,25","68,25",100,"54,32","77,39","61,22","11,082313","2,54","45,19","79,638833","9,212784","1,08","8694000000000,00%",0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076","25,18847"
110,2020,2,16,0,"56,597096","61,549528","66,98","66,98",100,"61,4","91,57","35,34","13,002549","4,59","45,19","66,491646","11,2671","12,54","12190000000000,00%",0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076","25,52649"
117,2020,2,17,0,"72,571102","75,502672","65,58","65,58",100,"68,73","64,51","65,8","10,119675","4,86","65,37","58,717453","9,208588","-5,1","1368000000000,00%",0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076","23,33904"
124,2020,2,18,0,"53,844861","62,022235","57,82","57,82",100,"20,14","65,38","62,49","15,495061","3,4","38,69","78,238045","7,243713","3,96","830700000000,00%",0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076","22,84031"
131,2020,2,19,0,"33,223252","38,259993","67,28","67,28",100,"73,4","63,06","70,64","12,830101","3,04",46,"72,036895","13,86655","14,14","1211000000000,00%",0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076","23,21714"
138,2020,2,20,0,"40,073544","45,320174","67,85","67,85",100,"74,12","76,93","52,84","14,326739","2,62","42,38","75,979785","15,19545","-7,11","917700000000,00%",0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076","22,93998"
145,2020,2,21,0,"52,43039","57,720529","51,21","51,21",100,"32,04","72,33","29,76","11,322589","2,9","46,55","80,146621","8,648575","0,45","6025000000000,00%",0,"-6,066926","-0,84593715","9,661931",1,"-0,13730302","5,769052","0,06366076","24,82176"
152,2020,3,22,0,"45,552179","50,714149","37,98","37,98",100,"10,13","27,71","63,26","18,361869","6,16","47,02","74,574763","7,896172","1,48","7372000000000,00%",0,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","25,02355"
159,2020,3,23,1,"38,17842","45,040784","44,07","44,07",100,"61,38","42,93","38,72","12,396638","1,07","32,55","83,910916","9,484718","25,9","12500000000000,00%",1,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","25,55174"
166,2020,3,24,0,"43,957516","50,601946","41,06","41,06",100,"3,07","45,73","49,82","14,304041","2,23","32,38","74,771444","8,369713","10,83","8269000000000,00%",0,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","25,13837"
173,2020,3,25,0,"29,953783","36,816262","40,63","40,63",100,0,"22,69","81,6","11,68001","1,72","31,81","78,221516","8,182228","22,92","15990000000000,00%",0,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","25,79751"
180,2020,3,26,0,"57,808348","63,998716","31,64","31,64",100,0,"37,14","36,72","16,50044","3,52","34,84","77,028345","7,712265","-3,97","4811000000000,00%",0,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","24,59666"
187,2020,3,27,1,"32,714073","38,980389","20,78","20,78",100,"1,05","12,47","40,11","12,340792","5,56","51,36","82,79456","7,897026","10,82","2456000000000,00%",1,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","23,92426"
194,2020,3,28,0,"18,310503","24,984416","51,32","51,32",100,"25,88","40,94","75,79","13,346415","4,33","41,98","67,7924","6,61808","-4,52","2664000000000,00%",0,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","24,00552"
201,2020,3,29,1,"52,123925","56,196141","19,92","19,92",100,0,"17,34","31,46","15,571965","2,49","36,35","80,806276","8,207779","17,53","4183000000000,00%",1,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","24,45697"
208,2020,3,30,0,"50,762531","56,518611","35,82","35,82",100,"1,05","29,94","57,82","17,331518","2,95","34,08","74,149086","8,792923","4,5","5175000000000,00%",0,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","24,66975"
215,2020,3,31,1,"43,698644","47,960218","45,97","45,97",100,"12,19","52,42","50,61","11,217146","1,17","48,47","80,367983","9,944489","18,56","2553000000000,00%",1,"-4,3413877","3,4454583","19,78581",1,"0,03374697","8,188565","0,24940148","23,96329"
222,2020,4,32,0,"29,477112","36,152674","55,3","55,3",100,"6,67","46,91","86,32","11,829314","4,28","31,08","56,495885","8,112534","10,25","4220000000000,00%",0,"-3,557604","-2,0933333","27,75683",1,"0,82222922","2,775492","0,84167933","24,46567"
229,2020,4,33,0,"15,929531","21,876017","64,31","64,31",100,"55,2","59,14","75,09","7,5024944","2,44","24,74","77,650388","5,79055","7,17","28160000000000,00%",0,"-3,557604","-2,0933333","27,75683",1,"0,82222922","2,775492","0,84167933","26,36374"
236,2020,4,34,1,"3,8841244","6,3700119","55,42","55,42",100,"30,95","55,27","65,42","11,015439","1,48","20,24","73,556203","7,598946","5,6","4790000000000,00%",1,"-3,557604","-2,0933333","27,75683",1,"0,82222922","2,775492","0,84167933","24,59238"
243,2020,4,35,0,"75,298485","80,283024","59,78","59,78",100,"36,48","54,16","76,83","9,4596983","5,98","29,54","56,352744","6,986824","-2,98","2845000000000,00%",0,"-3,557604","-2,0933333","27,75683",1,"0,82222922","2,775492","0,84167933","24,07124"
250,2020,4,36,1,"8,4135999","12,300902","10,53","10,53",100,0,"7,5","18,91","10,162655","1,56","27,73","80,70105","6,585808","9,71","1684000000000,00%",1,"-3,557604","-2,0933333","27,75683",1,"0,82222922","2,775492","0,84167933","23,54729"
257,2020,4,37,1,"15,207831","20,162655","27,26","27,26",100,0,"6,73","66,45","12,048063","1,17","21,5","78,381851","6,209465","15,19","3327000000000,00%",1,"-3,557604","-2,0933333","27,75683",1,"0,82222922","2,775492","0,84167933","24,22802"
264,2020,5,38,0,"19,459143","23,549488","43,41","43,41",100,"6,35","59,76","35,72","18,856676","4,38","39,02","69,109644","17,64169","1,81","1358000000000,00%",0,"-9,5182947","2,3931624","11,67462",1,"-0,35172344","7,825994","0,11315668","23,33152"
271,2020,5,39,0,"27,953297","33,615757","67,44","67,44",100,"50,95","68,59","72,44","12,62432","4,16","47,07","77,963216","10,41531","-3,14","4644000000000,00%",0,"-9,5182947","2,3931624","11,67462",1,"-0,35172344","7,825994","0,11315668","24,56147"
278,2020,5,40,0,"17,246493","21,277379","62,63","62,63",100,"47,57","57,25","76,05","11,492815","2,68","52,88","78,834958","10,74776","2,52","7018000000000,00%",0,"-9,5182947","2,3931624","11,67462",1,"-0,35172344","7,825994","0,11315668","24,97429"
285,2020,5,41,0,"24,066184","30,395661","58,25","58,25",100,"20,8","63,59","65,89","13,570382","2,5","49,32","74,803995","11,08632","-13,39","5105000000000,00%",0,"-9,5182947","2,3931624","11,67462",1,"-0,35172344","7,825994","0,11315668","24,65612"
292,2020,6,42,0,"24,498588","29,351882","44,09","44,09",100,"57,93","33,44","53,22","6,8976583","6,2","59,8","73,534038","9,074188","4,99","2412000000000,00%",0,"-1,2740874","9,7399931","12,60623",1,"-0,93949875","20,08906","-0,76476592","23,90623"
299,2020,6,43,0,"39,7219","45,347696","49,5","49,5",100,"24,95","45,86","64,33","10,204294","8,67","40,8","73,428611","11,33344","1,1","1185000000000,00%",0,"-1,2740874","9,7399931","12,60623",1,"-0,93949875","20,08906","-0,76476592","23,19565"
